Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Honda,Model B,2015,1.3,156577,Diesel,Manual,19240.996902505693
Audi,Model D,2017,1.1,192529,Electric,Manual,20281.779256972146
BMW,Model E,2000,3.7,156962,Electric,Automatic,19178.745633996878
Audi,Model D,2007,2.9,183057,Petrol,Manual,22090.033440169023
Audi,Model D,2000,3.4,108269,Petrol,Manual,21124.237647656802
Ford,Model E,2000,2.3,35013,Diesel,Manual,21312.91628809721
BMW,Model D,2018,1.0,165025,Electric,Manual,21214.755342079065
BMW,Model E,2020,2.2,133536,Diesel,Manual,23690.91989118612
BMW,Model E,2009,3.1,74111,Diesel,Automatic,28876.652105436493
Audi,Model E,2017,1.8,112839,Diesel,Automatic,27231.572099027595
Honda,Model B,2011,3.4,46825,Diesel,Manual,29512.07131627738
BMW,Model C,2016,3.8,160638,Diesel,Automatic,29433.79845229107
Audi,Model B,2000,2.6,94035,Electric,Manual,21648.501723333375
Ford,Model E,2007,4.1,1521,Petrol,Automatic,31702.95903963108
Honda,Model C,2009,4.0,17363,Diesel,Automatic,30565.028198550066
Ford,Model C,2009,4.1,80938,Electric,Automatic,27728.815614322215
Honda,Model E,2017,3.3,122159,Diesel,Manual,25035.364044677022
Audi,Model C,2008,2.1,142534,Electric,Automatic,22219.683821610073
Toyota,Model C,2001,2.7,73109,Petrol,Automatic,20851.654747307795
Honda,Model B,2002,3.5,182177,Petrol,Manual,20023.026684330653
Ford,Model C,2001,1.7,54698,Electric,Automatic,21631.880164804934
Audi,Model E,2005,3.6,158175,Diesel,Automatic,20994.543598939363
Honda,Model A,2011,2.9,119511,Petrol,Manual,26006.70189537466
Toyota,Model A,2021,1.3,147579,Diesel,Automatic,23161.76026568317
Toyota,Model A,2018,3.0,96783,Diesel,Manual,26212.577949419232
BMW,Model E,2014,1.2,194173,Electric,Manual,18388.201768204195
BMW,Model A,2018,1.1,98829,Diesel,Manual,26134.944223656978
Ford,Model B,2011,4.1,116774,Electric,Manual,28580.353975324575
Honda,Model E,2017,2.7,179398,Electric,Automatic,24115.919238585437
Honda,Model E,2015,2.9,141419,Electric,Manual,23426.454208062467
BMW,Model E,2001,2.0,6099,Petrol,Automatic,25803.690041642563
Honda,Model C,2010,2.9,75104,Diesel,Manual,25329.208383120593
Honda,Model C,2011,1.6,4406,Electric,Manual,28254.52547172769
Toyota,Model C,2004,3.6,159109,Electric,Automatic,21252.908327528738
BMW,Model D,2005,3.9,102439,Diesel,Manual,24316.619114598845
Audi,Model B,2010,4.0,188250,Petrol,Manual,18702.31108185261
BMW,Model E,2020,1.4,135948,Electric,Manual,23658.845547442936
Audi,Model E,2009,3.0,90692,Electric,Manual,25898.638129042192
Toyota,Model C,2003,3.8,161943,Electric,Automatic,23149.99115410129
Ford,Model E,2008,1.4,96442,Electric,Manual,22334.556153139325
Honda,Model E,2011,1.3,102829,Diesel,Automatic,22931.23903143385
Toyota,Model A,2009,3.9,112631,Electric,Manual,21691.070673785747
Honda,Model E,2013,3.8,44895,Petrol,Manual,32969.07803719844
Ford,Model D,2004,2.6,43760,Diesel,Automatic,25859.533282266377
Ford,Model C,2000,1.4,46306,Petrol,Automatic,20624.099341516077
Toyota,Model B,2004,2.8,75179,Diesel,Automatic,23380.822055592776
Ford,Model B,2015,2.4,147659,Diesel,Manual,24928.009045116123
Audi,Model A,2004,2.8,76554,Diesel,Manual,25228.30652181894
Ford,Model B,2004,2.5,135285,Petrol,Automatic,19130.218213596065
Honda,Model B,2017,3.0,141116,Petrol,Manual,27197.735195960267
Honda,Model C,2005,3.5,131015,Electric,Manual,21336.04559735375
Honda,Model C,2020,3.7,44425,Petrol,Automatic,34210.24518293939
Honda,Model D,2017,3.3,152448,Electric,Automatic,26706.74372033424
Audi,Model A,2009,1.7,22590,Diesel,Automatic,26996.547457461587
BMW,Model B,2014,2.4,43403,Electric,Manual,27635.072269120377
Toyota,Model D,2021,1.2,26628,Petrol,Automatic,30330.08169152706
Honda,Model A,2010,2.6,89421,Diesel,Automatic,25392.037495957193
Ford,Model B,2018,4.4,105763,Diesel,Manual,31253.83714586442
Honda,Model B,2012,3.2,133264,Electric,Automatic,25049.518575988208
Ford,Model C,2019,1.5,152505,Electric,Manual,21493.900474444585
Ford,Model E,2002,1.9,84629,Petrol,Automatic,20669.496893182193
Honda,Model A,2015,1.2,124062,Diesel,Automatic,21479.38730796656
Audi,Model B,2006,1.6,30617,Electric,Manual,20909.67272068806
Ford,Model A,2011,2.7,107454,Diesel,Automatic,25105.56111271462
Ford,Model D,2014,2.2,162754,Petrol,Automatic,22937.504202569733
Honda,Model D,2007,1.7,10250,Diesel,Automatic,26258.158299310257
Ford,Model E,2016,1.5,32836,Electric,Manual,29258.54199729696
Ford,Model B,2000,3.3,112319,Petrol,Manual,20829.77073430969
Honda,Model C,2020,3.0,67173,Petrol,Automatic,34578.17523031844
Honda,Model B,2007,3.9,127939,Diesel,Manual,25574.0009351672
Toyota,Model A,2013,1.6,106761,Electric,Manual,25239.037982678903
Audi,Model D,2009,4.0,6251,Diesel,Manual,32333.554678844546
Audi,Model A,2018,3.0,101429,Diesel,Manual,30660.131570751022
Ford,Model E,2007,1.9,56246,Diesel,Automatic,22628.271425262166
Audi,Model D,2018,2.0,164078,Electric,Automatic,25093.36671426033
Ford,Model C,2003,2.4,86966,Diesel,Automatic,23276.76780489936
Toyota,Model D,2009,2.6,171857,Diesel,Automatic,19686.88780454199
Honda,Model B,2002,1.3,137536,Petrol,Manual,18473.099287670593
Honda,Model B,2003,3.9,67344,Petrol,Automatic,24260.762749662073
Honda,Model D,2015,1.4,141353,Petrol,Automatic,23180.238407093395
Audi,Model E,2003,2.7,50106,Electric,Automatic,21369.61966386018
Toyota,Model B,2019,2.3,121720,Diesel,Automatic,28618.20724327898
Audi,Model B,2019,2.8,94840,Diesel,Automatic,31808.253784042994
Audi,Model C,2012,4.1,105293,Petrol,Automatic,27884.74357094479
Toyota,Model D,2020,4.5,176112,Diesel,Manual,26532.316754187632
Toyota,Model B,2016,1.1,8998,Electric,Manual,28823.58217592883
Toyota,Model E,2015,2.4,145589,Diesel,Automatic,22250.79417416563
Toyota,Model A,2016,3.9,106083,Petrol,Automatic,29679.92919474606
Honda,Model D,2005,2.1,185354,Electric,Automatic,18103.612764365054
BMW,Model C,2002,3.3,42866,Diesel,Manual,25401.399403746662
BMW,Model B,2019,4.5,113384,Diesel,Manual,28726.524780548032
Toyota,Model E,2003,3.3,22969,Diesel,Automatic,25300.872732671287
BMW,Model D,2007,1.4,100980,Electric,Automatic,20663.469269711
BMW,Model E,2019,4.0,146855,Diesel,Manual,31928.13923870994
Toyota,Model E,2008,4.4,118259,Petrol,Automatic,25591.642554144928
BMW,Model C,2021,3.5,31107,Petrol,Automatic,35940.29669051099
Audi,Model D,2000,2.5,176703,Petrol,Manual,15517.015980354197
Ford,Model B,2012,4.3,134831,Petrol,Manual,25684.468862975158
Ford,Model C,2001,4.4,14789,Electric,Manual,26652.9956533159
Toyota,Model B,2009,4.3,13214,Petrol,Automatic,31056.782569098013
Honda,Model A,2018,2.4,70657,Petrol,Manual,31811.282876736284
Toyota,Model E,2016,3.8,29482,Petrol,Manual,31570.868084555757
Honda,Model A,2012,3.3,163544,Electric,Automatic,23063.04602600544
Ford,Model E,2013,1.6,74536,Electric,Manual,23774.257522480246
Toyota,Model C,2010,2.9,48187,Diesel,Manual,30000.8777354063
Audi,Model B,2009,3.6,31087,Petrol,Manual,29913.00449727867
BMW,Model B,2006,4.1,941,Diesel,Automatic,32894.25609903656
Honda,Model C,2009,4.0,119340,Electric,Automatic,20201.00328754233
BMW,Model D,2000,1.5,132393,Diesel,Manual,17235.888814705642
BMW,Model A,2013,2.7,194539,Electric,Automatic,19373.378922588196
Toyota,Model A,2002,2.7,45972,Diesel,Automatic,21921.888301183622
BMW,Model B,2012,4.1,199676,Petrol,Automatic,22837.32061154598
Audi,Model B,2001,1.0,86658,Electric,Manual,17129.65220580821
BMW,Model B,2016,3.6,39361,Electric,Automatic,32198.235491419833
Toyota,Model C,2020,3.2,41354,Electric,Automatic,31911.051620551676
Audi,Model D,2002,4.2,66327,Petrol,Automatic,24874.045021715265
Ford,Model A,2014,2.6,192049,Petrol,Manual,21407.192761802267
BMW,Model E,2007,3.3,47191,Electric,Automatic,23435.123205907992
Toyota,Model C,2005,4.4,55828,Electric,Automatic,28197.239901718138
Ford,Model A,2008,3.6,10136,Petrol,Automatic,29720.267121374196
Ford,Model D,2010,1.2,146819,Petrol,Automatic,19443.497109166037
Honda,Model C,2021,1.6,66279,Petrol,Manual,28391.32792398453
Audi,Model A,2001,3.9,72060,Petrol,Automatic,23747.79618417959
BMW,Model C,2008,2.2,39342,Petrol,Manual,21095.341711706456
Toyota,Model A,2017,3.5,196118,Petrol,Automatic,23616.40964396573
Honda,Model A,2018,3.4,81851,Diesel,Manual,29809.901257293393
Audi,Model D,2021,4.5,176404,Petrol,Automatic,29579.681290580418
Honda,Model E,2017,2.6,32961,Petrol,Manual,30992.067486192027
Audi,Model D,2004,3.6,106198,Electric,Manual,24797.828248806927
Audi,Model A,2017,1.2,69810,Electric,Manual,24185.484458897387
BMW,Model C,2011,2.6,29838,Diesel,Automatic,29649.575772155953
Audi,Model D,2003,1.7,14332,Petrol,Manual,27190.23932396314
Honda,Model E,2014,3.9,63001,Electric,Automatic,29674.054583698486
Audi,Model A,2010,3.9,90329,Electric,Manual,28749.432388831807
BMW,Model D,2018,1.8,167422,Diesel,Automatic,26095.045718455738
BMW,Model D,2004,2.1,119771,Petrol,Automatic,22023.655359897828
Honda,Model D,2005,3.5,80954,Electric,Manual,23869.57495821065
Ford,Model D,2012,3.6,48473,Petrol,Automatic,31940.94049277859
Ford,Model C,2009,3.3,171969,Diesel,Automatic,23221.277892331207
Audi,Model E,2013,4.5,11682,Diesel,Manual,36327.54965960998
Toyota,Model E,2003,4.0,152799,Petrol,Automatic,22240.467148711235
Audi,Model A,2019,2.5,187741,Diesel,Automatic,26452.70880046822
Honda,Model B,2011,2.1,43775,Electric,Automatic,26058.27203083123
Honda,Model C,2014,3.1,56941,Diesel,Manual,28435.265387305182
Honda,Model A,2009,3.9,12115,Diesel,Automatic,26334.16829268886
Honda,Model A,2010,2.7,50937,Petrol,Manual,26007.793133102434
Honda,Model D,2008,3.6,45132,Electric,Manual,27323.19742902074
BMW,Model B,2010,1.1,193110,Petrol,Manual,12937.516963902679
Ford,Model B,2001,4.2,12025,Petrol,Manual,27388.191722420746
Honda,Model C,2012,3.7,95439,Petrol,Automatic,29773.123327079767
Toyota,Model B,2021,2.4,58526,Diesel,Automatic,29548.28817277829
Toyota,Model A,2007,2.3,147979,Diesel,Automatic,23445.93054714868
Toyota,Model B,2020,1.4,68832,Petrol,Automatic,29100.49601173867
Toyota,Model B,2020,3.9,56108,Diesel,Automatic,35683.318115421156
BMW,Model E,2007,3.7,151935,Diesel,Manual,22205.45686531455
Toyota,Model A,2000,3.2,136757,Petrol,Manual,16782.785601915268
Honda,Model B,2005,1.4,6647,Electric,Manual,25052.750838933473
Audi,Model B,2012,1.9,30145,Electric,Automatic,28812.433182050205
Toyota,Model D,2008,2.6,171634,Diesel,Manual,19275.10236141427
BMW,Model B,2005,1.9,103894,Electric,Automatic,20616.080027904783
BMW,Model B,2014,2.5,151839,Electric,Automatic,23395.539009746582
Toyota,Model E,2015,1.8,98702,Diesel,Automatic,23864.412285451363
Audi,Model A,2003,2.2,116839,Electric,Manual,19714.51794842849
Toyota,Model C,2016,3.3,5430,Diesel,Manual,31917.66330415619
BMW,Model A,2008,4.1,134952,Petrol,Manual,25980.21223023151
Ford,Model D,2011,2.3,65662,Electric,Manual,30454.17229117138
Honda,Model A,2021,3.4,116775,Petrol,Manual,32660.054272794856
BMW,Model B,2018,1.5,60487,Petrol,Automatic,27605.512151052146
Toyota,Model D,2019,2.9,39793,Diesel,Manual,33009.4363514977
Honda,Model A,2011,4.2,113584,Electric,Manual,29487.498997326496
Toyota,Model D,2021,1.1,110549,Electric,Manual,25979.480480147264
Toyota,Model C,2005,1.9,57590,Electric,Automatic,23537.327525078334
Ford,Model A,2011,1.5,71461,Electric,Manual,25362.866300688373
Honda,Model B,2008,2.9,52470,Diesel,Manual,26700.681995797637
Honda,Model D,2019,3.4,198689,Petrol,Automatic,25745.81818878662
Ford,Model E,2004,1.2,63616,Electric,Manual,22321.620299369886
BMW,Model D,2020,1.2,100361,Electric,Automatic,29847.474972118758
Toyota,Model E,2002,4.0,169743,Diesel,Automatic,19334.685250557883
Audi,Model B,2001,2.6,136407,Electric,Manual,20360.350985383135
Toyota,Model C,2007,2.6,68525,Electric,Manual,21299.173043197683
Toyota,Model E,2009,4.3,105879,Petrol,Manual,27774.49462835881
BMW,Model C,2014,2.1,93709,Electric,Automatic,21151.89739636011
Toyota,Model D,2008,4.1,71257,Electric,Manual,26089.929899899296
Ford,Model B,2009,4.4,187302,Petrol,Automatic,20863.304438137224
Ford,Model E,2010,1.8,2728,Electric,Automatic,30738.31558706691
Honda,Model D,2008,2.8,83511,Petrol,Manual,23859.131588528886
Audi,Model A,2013,2.9,22167,Diesel,Manual,30094.58820759785
Toyota,Model D,2004,4.0,167001,Petrol,Automatic,20209.42454723886
Toyota,Model C,2008,2.1,73711,Petrol,Manual,20622.003750485652
BMW,Model B,2003,3.8,168469,Electric,Automatic,20250.302001174037
Ford,Model B,2001,4.4,126218,Electric,Manual,22141.59470361047
Audi,Model D,2018,3.9,193320,Electric,Manual,24509.701356739468
Honda,Model A,2000,4.2,178608,Electric,Manual,21229.142336761746
Ford,Model C,2020,3.5,72437,Petrol,Manual,35075.21602354963
Honda,Model D,2000,4.2,76426,Diesel,Automatic,21063.34534159741
BMW,Model D,2011,1.6,76851,Electric,Automatic,22483.921207879943
BMW,Model B,2010,3.5,80962,Petrol,Automatic,27891.57984470321
Toyota,Model C,2000,3.6,162388,Diesel,Automatic,17150.621968671705
Audi,Model A,2013,2.5,35065,Diesel,Automatic,28311.53030954697
Honda,Model B,2010,1.3,120138,Diesel,Automatic,18557.8707217234
Ford,Model D,2006,3.2,80286,Petrol,Manual,22370.287824888397
BMW,Model B,2001,1.2,23674,Electric,Manual,19676.18799107759
Toyota,Model B,2014,2.3,119632,Petrol,Automatic,24880.217100889022
Toyota,Model E,2007,2.4,26085,Electric,Automatic,26391.751808607754
Honda,Model B,2021,4.5,38086,Diesel,Automatic,34962.18087467967
BMW,Model B,2019,2.0,114700,Diesel,Automatic,24467.369113731067
Audi,Model C,2014,3.9,63493,Petrol,Automatic,28141.273104844302
BMW,Model B,2007,1.2,184258,Diesel,Automatic,17664.869892457184
Honda,Model A,2009,2.9,48248,Petrol,Manual,31137.98026237901
Honda,Model D,2018,2.9,26156,Electric,Manual,33352.56021521217
BMW,Model C,2002,3.2,100355,Diesel,Automatic,16248.317087748328
Honda,Model B,2019,3.8,134948,Electric,Automatic,30489.107293106787
BMW,Model A,2013,3.7,186354,Diesel,Manual,25953.34127109343
Ford,Model D,2008,3.7,71963,Electric,Manual,25503.38130537423
BMW,Model C,2008,2.5,176849,Diesel,Manual,20917.02698923728
BMW,Model A,2020,3.5,48119,Electric,Manual,35737.03211598711
